City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Ravar,31.2656,56.8055,86.34,46,100,3.36,IR,2022-07-28 23:08:42
67,Houma,29.5958,-90.7195,84.0,85,32,7.11,US,2022-07-28 23:04:18
68,Cape Town,-33.9258,18.4232,58.26,81,65,13.0,ZA,2022-07-28 23:05:44
69,Salalah,17.0151,54.0924,77.09,94,75,5.75,OM,2022-07-28 23:08:42
70,Dingli,35.8614,14.3822,79.81,89,20,5.75,MT,2022-07-28 23:08:42
71,Skelleftea,64.7507,20.9528,53.96,100,100,4.61,SE,2022-07-28 23:04:05
72,Malanje,-9.5402,16.341,62.96,58,73,4.72,AO,2022-07-28 23:08:43
73,Iqaluit,63.7506,-68.5145,61.54,38,93,14.07,CA,2022-07-28 23:08:43
74,Rocha,-34.4833,-54.3333,48.47,78,96,15.7,UY,2022-07-28 23:08:44
75,Yar-Sale,66.8333,70.8333,61.27,67,87,6.82,RU,2022-07-28 23:08:44
76,Tromso,69.6496,18.957,45.37,87,20,1.14,NO,2022-07-28 23:08:44
77,Aquiraz,-3.9014,-38.3911,80.69,84,84,10.36,BR,2022-07-28 23:08:45
78,Hirekerur,14.4667,75.3833,72.9,94,77,5.35,IN,2022-07-28 23:06:21
79,Lerwick,60.1545,-1.1494,55.4,84,100,9.24,GB,2022-07-28 23:08:45
80,Muisne,0.6,-80.0333,74.41,83,97,5.99,EC,2022-07-28 23:08:46
81,Bignona,12.8103,-16.2264,79.0,84,81,9.91,SN,2022-07-28 23:08:46
82,Cordoba,-31.4135,-64.1811,57.76,34,0,0.0,AR,2022-07-28 23:07:15
83,Lenoir,35.2335,-77.6497,93.49,57,0,10.36,US,2022-07-28 23:08:46
84,Caravelas,-17.7125,-39.2481,69.57,81,1,7.25,BR,2022-07-28 23:04:25
85,Buraydah,26.326,43.975,92.93,16,98,5.61,SA,2022-07-28 23:08:47
86,Dawlatabad,36.4141,64.9053,82.02,24,0,5.48,AF,2022-07-28 23:09:47
87,Masallatah,32.6167,14.0,77.27,75,0,4.38,LY,2022-07-28 23:09:47
88,Plettenberg Bay,-34.0527,23.3716,61.45,45,0,7.7,ZA,2022-07-28 23:09:48
89,Maceio,-9.6658,-35.7353,76.44,88,75,2.3,BR,2022-07-28 23:09:48
90,Beitbridge,-22.2167,30.0,61.0,56,0,6.78,ZW,2022-07-28 23:09:48
91,Dikson,73.5069,80.5464,43.45,100,100,17.09,RU,2022-07-28 23:09:49
92,Lagoa,39.05,-27.9833,71.98,76,2,3.44,PT,2022-07-28 23:09:49
93,Gunjur,13.2019,-16.7339,80.94,83,50,17.27,GM,2022-07-28 23:09:49
94,Maldonado,-34.6667,-54.9167,51.22,77,98,17.11,UY,2022-07-28 23:09:50
95,Blind River,46.1834,-82.9582,64.36,68,21,14.94,CA,2022-07-28 23:09:50
96,Torbay,47.6666,-52.7314,57.27,90,90,11.99,CA,2022-07-28 23:09:50
97,San Juan,-31.5375,-68.5364,57.18,40,0,7.85,AR,2022-07-28 23:09:51
